rank,protocol_name,protocol_type,success_rate,guard_pass_rate,mean_score,worst_score,score_std,robust_utility,mean_delta_Q30,worst_delta_Q30,mean_delta_plating_loss,worst_delta_plating_loss,mean_delta_sei_growth,worst_delta_sei_growth,mean_delta_total_lli,worst_delta_total_lli
1,UA5_PSMS_3.00C_rest10m_4.30C_e4.50_v4p18_h3.35_1p5m,UA5_PSMS_Candidate,1.0,1.0,0.04138956386002244,0.0,0.05018685092841684,0.023824166035076547,0.0035845855267959232,0.0,0.09569463795716449,0.0,0.0011106155394091156,0.0,0.06516841641672023,0.0
2,UA5_PSMS_3.00C_rest10m_4.30C_e4.50_v4p18_h3.30_1p5m,UA5_PSMS_Candidate,1.0,1.0,0.04138956386002244,0.0,0.05018685092841684,0.023824166035076547,0.0035845855267959232,0.0,0.09569463795716449,0.0,0.0011106155394091156,0.0,0.06516841641672023,0.0
3,UA5_PSMS_3.00C_rest10m_4.30C_e4.45_v4p18_h3.30_1p5m,UA5_PSMS_Candidate,1.0,1.0,0.03227698023917517,0.0,0.03913704001707825,0.018579016233197784,0.002553701393204224,-1.8021489847376891e-06,0.07476837502064233,0.0,0.0008653759874547547,0.0,0.05092046855539937,0.0
4,UA5_PSMS_3.00C_rest10m_4.30C_e4.45_v4p18_h3.40_1p5m,UA5_PSMS_Candidate,1.0,1.0,0.03227698023917517,0.0,0.03913704001707825,0.018579016233197784,0.002553701393204224,-1.8021489847376891e-06,0.07476837502064233,0.0,0.0008653759874547547,0.0,0.05092046855539937,0.0
5,UA5_PSMS_3.00C_rest10m_4.30C_e4.45_v4p18_h3.35_2m,UA5_PSMS_Candidate,1.0,1.0,0.03227698023917517,0.0,0.03913704001707825,0.018579016233197784,0.002553701393204224,-1.8021489847376891e-06,0.07476837502064233,0.0,0.0008653759874547547,0.0,0.05092046855539937,0.0
6,UA5_PSMS_3.00C_rest10m_4.30C_e4.40_v4p16_h3.35_0m,UA5_PSMS_Candidate,1.0,1.0,0.022342659661739355,0.0,0.02708383275899604,0.012863318196090743,0.0016123978940574672,-0.00022063580846405474,0.05184662294217066,0.0,0.0005991344179299998,0.0,0.035312483392799306,0.0
7,UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,UA5_PSMS_Anchor,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,UA5_PSMS_3.05C_rest10m_4.30C_e4.45_v4p16_h3.40_0p5m,UA5_PSMS_Candidate,1.0,0.8,0.006291693459099419,-0.10070972887695687,0.060025816200937845,-0.014717342211228824,-0.12240384212502824,-0.5737973605551733,0.06397642894732823,0.0027256278637834124,0.033646939882289575,0.002100960005447069,0.049947247131808106,0.019254191010054104
9,UA5_PSMS_3.00C_rest9m_4.30C_e4.45_v4p15_h3.45_0p5m,UA5_PSMS_Candidate,1.0,0.8,-0.007766873740411004,-0.10961343661913592,0.05534689564808919,-0.027138287217242218,-0.12647059047083412,-0.5613286817802664,0.036673404566112885,-0.01809092333243189,0.02991839551755216,0.0,0.028811295425525046,0.0
10,UA5_PSMS_3.00C_rest11m_4.30C_e4.40_v4p17_h3.50_1m,UA5_PSMS_Candidate,1.0,0.6,0.23515351327961476,0.0866578538384194,0.16019224159839549,0.17908622872017635,0.5849470970290761,0.03828340509480217,0.23885367731176016,0.1844376633493432,-0.06737125506429024,-0.16892525927161145,0.18418453384191297,0.12436678824963075
11,UA5_PSMS_2.95C_rest10m_4.30C_e4.40_v4p14_h3.30_0m,UA5_PSMS_Candidate,1.0,0.6,0.20472753499453744,0.06677443457647074,0.1487656993434725,0.15265954022432207,0.5158477998973412,-0.006940301767184794,0.20752723823793434,0.1610077609033843,-0.06364768482206874,-0.16507623629983081,0.15918278666494295,0.11088337594448505
12,BO_3step_aggressive,BO_Optimal,1.0,0.4,-0.2710664012276322,-0.6896866419648101,0.32475388219284157,-0.3847302599951268,-0.00582626817121227,-0.055911951044323366,-0.6291158431828652,-1.6112129217472393,-0.01707515990454527,-0.03851004339040949,-0.4322483336519062,-1.1181411448486063
13,LinearTaper_3.0C-0.5C,LinearTaper,1.0,0.0,-0.15892763161249018,-0.32233095977562964,0.10111398164487823,-0.19431752518819756,0.06594460568109906,-0.2807026633242854,-0.28148234098454017,-0.49333240117661437,-0.14682530192210758,-0.2156619618983185,-0.273347489224412,-0.4364211397208822
14,CCCV_2.0C,CCCV,1.0,0.0,-0.5366985820419202,-1.175426900337093,0.4545000069024242,-0.6957735844577687,0.16870921256267138,-0.24766954009375153,-1.2296011788042311,-2.5933825210793757,-0.16809257504442845,-0.2684567458133089,-0.9178097868816927,-1.8187241973000299
